pop	n	time_gen	x	y	time_orig	x_orig	y_orig
NEA	1	214334	-1	-1	70000	-1	-1
NEA	1	215334	-1	-1	40000	-1	-1
AFR	5	216668	-1	-1	0	-1	-1
CH	1	216668	-1	-1	0	-1	-1
EUR	5	216668	-1	-1	0	-1	-1
